Country,Year_New,Item,Value,Population
Malawi,2010,Rice,73,14539609
Malawi,2011,Rice,79,14962118
Malawi,2012,Rice,74,15396010
Malawi,2013,Rice,83,15839287
Mali,2004,Rice,479,12369078
Mali,2005,Rice,631,12775509
Mali,2006,Rice,703,13203378
Mali,2007,Rice,722,13651455
Mali,2008,Rice,1083,14113578
Mali,2009,Rice,1301,14581427
Mali,2010,Rice,1538,15049352
Mali,2011,Rice,1162,15514593
Mali,2012,Rice,1277,15979492
Mali,2013,Rice,1475,16449854
Mauritania,2004,Rice,57,2939246
Mauritania,2005,Rice,48,3024198
Mauritania,2006,Rice,47,3111908
Mauritania,2007,Rice,55,3202512
Mauritania,2008,Rice,55,3296237
Mauritania,2009,Rice,36,3393408
Mauritania,2010,Rice,90,3494200
Mauritania,2011,Rice,105,3598646
Mauritania,2012,Rice,123,3706555
Mauritania,2013,Rice,135,3817497
Mauritius,2004,Rice,0,1215668
Mauritius,2005,Rice,0,1222010
Mauritius,2006,Rice,0,1228089
Mauritius,2007,Rice,0,1233890
Mauritius,2008,Rice,0,1239262
Mauritius,2009,Rice,0,1243996
Mauritius,2010,Rice,0,1247953
Mauritius,2011,Rice,0,1251074
Mauritius,2012,Rice,1,1253489
Mauritius,2013,Rice,0,1255458
Morocco,2004,Rice,20,30115196
Morocco,2005,Rice,29,30455563
Morocco,2006,Rice,23,30804689
Morocco,2007,Rice,22,31163670
Morocco,2008,Rice,30,31536807
Morocco,2009,Rice,33,31929087
Morocco,2010,Rice,34,32343384
Morocco,2011,Rice,12,32781860
Morocco,2012,Rice,46,33241898
Morocco,2013,Rice,25,33715705
Mozambique,2004,Rice,61,19910549
Mozambique,2005,Rice,43,20493927
Mozambique,2006,Rice,65,21080108
Mozambique,2007,Rice,69,21673319
Mozambique,2008,Rice,68,22276596
Mozambique,2009,Rice,119,22894718
Mozambique,2010,Rice,172,23531567
Mozambique,2011,Rice,181,24187500
Mozambique,2012,Rice,98,24862673
Mozambique,2013,Rice,234,25560752
Niger,2004,Rice,52,13125914
Niger,2005,Rice,40,13624474
Niger,2006,Rice,52,14143969
Niger,2007,Rice,47,14685404
Niger,2008,Rice,22,15250913
Niger,2009,Rice,13,15843131
Niger,2010,Rice,20,16464025
Niger,2011,Rice,8,17114770
Niger,2012,Rice,4,17795209
Niger,2013,Rice,9,18504287
Nigeria,2004,Rice,2224,135320420
Nigeria,2005,Rice,2379,138865014
Nigeria,2006,Rice,2696,142538305
Nigeria,2007,Rice,2125,146339971
Nigeria,2008,Rice,2787,150269622
Nigeria,2009,Rice,2365,154324939
Nigeria,2010,Rice,2983,158503203
Nigeria,2011,Rice,3046,162805080
Nigeria,2012,Rice,3224,167228803
Nigeria,2013,Rice,3135,171765819
Rwanda,2004,Rice,31,8680516
Rwanda,2005,Rice,41,8840220
Rwanda,2006,Rice,42,9043342
Rwanda,2007,Rice,41,9273759
Rwanda,2008,Rice,55,9524532
Rwanda,2009,Rice,54,9782770
Rwanda,2010,Rice,45,10039338
Rwanda,2011,Rice,54,10293333
Rwanda,2012,Rice,56,10549668
Rwanda,2013,Rice,63,10811538
Senegal,2004,Rice,135,10810086
Senegal,2005,Rice,186,11090123
Senegal,2006,Rice,127,11382272
Senegal,2007,Rice,129,11687078
Senegal,2008,Rice,272,12004700
Senegal,2009,Rice,335,12335092
Senegal,2010,Rice,403,12678143
Senegal,2011,Rice,271,13033814
Senegal,2012,Rice,313,13401990
Senegal,2013,Rice,291,13782429
Sierra Leone,2004,Rice,362,5433995
Sierra Leone,2005,Rice,492,5645629
Sierra Leone,2006,Rice,709,5829240
Sierra Leone,2007,Rice,392,5989641
Sierra Leone,2008,Rice,454,6133599
Sierra Leone,2009,Rice,593,6272735
Sierra Leone,2010,Rice,685,6415636
Sierra Leone,2011,Rice,753,6563238
Sierra Leone,2012,Rice,761,6712586
Sierra Leone,2013,Rice,837,6863975
South Africa,2004,Rice,2,47291610
South Africa,2005,Rice,3,47880595
South Africa,2006,Rice,2,48489464
South Africa,2007,Rice,2,49119766
South Africa,2008,Rice,2,49779472
South Africa,2009,Rice,2,50477013
South Africa,2010,Rice,2,51216967
South Africa,2011,Rice,2,52003759
South Africa,2012,Rice,2,52832659
South Africa,2013,Rice,3,53687125
Sudan,2004,Rice,24,30214189
Sudan,2005,Rice,13,30949514
Sudan,2006,Rice,17,31661824
Sudan,2007,Rice,15,32360619
Sudan,2008,Rice,20,33060844
Sudan,2009,Rice,15,33783779
Sudan,2010,Rice,16,34545014
Sudan,2011,Rice,17,35349676
Sudan,2012,Rice,16,36193781
Sudan,2013,Rice,17,37072555
Swaziland,2004,Rice,0,1026000
Swaziland,2005,Rice,0,1031000
Swaziland,2006,Rice,0,1036000
Swaziland,2007,Rice,0,1043000
Swaziland,2008,Rice,0,1050000
Swaziland,2009,Rice,0,1057000
Swaziland,2010,Rice,0,1065000
Swaziland,2011,Rice,0,1072000
Swaziland,2012,Rice,0,1079000
Swaziland,2013,Rice,0,1087000
Togo,2004,Rice,46,5467770
Togo,2005,Rice,49,5611643
Togo,2006,Rice,51,5762881
Togo,2007,Rice,50,5920360
Togo,2008,Rice,57,6083417
Togo,2009,Rice,81,6250840
Togo,2010,Rice,73,6421674
Togo,2011,Rice,75,6595939
Togo,2012,Rice,107,6773807
Togo,2013,Rice,64,6954721
Uganda,2004,Rice,81,26821300
Uganda,2005,Rice,102,27684590
Uganda,2006,Rice,103,28571475
Uganda,2007,Rice,108,29486335
Uganda,2008,Rice,119,30431734
Uganda,2009,Rice,137,31411096
Uganda,2010,Rice,145,32428164
Uganda,2011,Rice,155,33476772
Uganda,2012,Rice,141,34558700
Uganda,2013,Rice,143,35694519
