Country,Year_New,Value
Ethiopia,2013,46102
Gabon,2004,1211
Gabon,2005,1246
Gabon,2006,1263
Gabon,2007,1289
Gabon,2008,1308
Gabon,2009,1387
Gabon,2010,1424
Gabon,2011,1443
Gabon,2012,1474
Gabon,2013,1521
Gambia,2004,473
Gambia,2005,440
Gambia,2006,458
Gambia,2007,360
Gambia,2008,472
Gambia,2009,549
Gambia,2010,614
Gambia,2011,411
Gambia,2012,465
Gambia,2013,457
Ghana,2004,24040
Ghana,2005,24448
Ghana,2006,25054
Ghana,2007,25286
Ghana,2008,28290
Ghana,2009,30647
Ghana,2010,32140
Ghana,2011,33650
Ghana,2012,34860
Ghana,2013,36589
Guinea,2004,5891
Guinea,2005,6099
Guinea,2006,6166
Guinea,2007,6393
Guinea,2008,6512
Guinea,2009,6606
Guinea,2010,6904
Guinea,2011,7084
Guinea,2012,7458
Guinea,2013,7735
Guinea-Bissau,2004,637
Guinea-Bissau,2005,703
Guinea-Bissau,2006,705
Guinea-Bissau,2007,654
Guinea-Bissau,2008,725
Guinea-Bissau,2009,700
Guinea-Bissau,2010,743
Guinea-Bissau,2011,807
Guinea-Bissau,2012,787
Guinea-Bissau,2013,835
Kenya,2004,20664
Kenya,2005,23745
Kenya,2006,24656
Kenya,2007,24433
Kenya,2008,24928
Kenya,2009,26049
Kenya,2010,27991
Kenya,2011,26605
Kenya,2012,28851
Kenya,2013,28950
Lesotho,2004,371
Lesotho,2005,383
Lesotho,2006,383
Lesotho,2007,344
Lesotho,2008,347
Lesotho,2009,339
Lesotho,2010,451
Lesotho,2011,397
Lesotho,2012,352
Lesotho,2013,418
Liberia,2004,1382
Liberia,2005,1443
Liberia,2006,1358
Liberia,2007,1446
Liberia,2008,1491
Liberia,2009,1457
Liberia,2010,1490
Liberia,2011,1535
Liberia,2012,1522
Liberia,2013,1533
Madagascar,2004,10360
Madagascar,2005,12228
Madagascar,2006,12608
Madagascar,2007,12720
Madagascar,2008,12774
Madagascar,2009,13928
Madagascar,2010,14215
Madagascar,2011,14735
Madagascar,2012,15343
Madagascar,2013,14160
Malawi,2004,10917
Malawi,2005,9786
Malawi,2006,13078
Malawi,2007,14908
Malawi,2008,14910
Malawi,2009,16677
Malawi,2010,16867
Malawi,2011,17569
Malawi,2012,19074
Malawi,2013,19931
Mali,2004,6275
Mali,2005,7233
Mali,2006,7301
Mali,2007,8249
Mali,2008,8855
Mali,2009,10853
Mali,2010,10671
Mali,2011,10773
Mali,2012,11486
Mali,2013,10596
Mauritania,2004,906
Mauritania,2005,1016
Mauritania,2006,875
Mauritania,2007,913
Mauritania,2008,909
Mauritania,2009,953
Mauritania,2010,1110
Mauritania,2011,1024
Mauritania,2012,1182
Mauritania,2013,1151
Mauritius,2004,6081
Mauritius,2005,5720
Mauritius,2006,5471
Mauritius,2007,4891
Mauritius,2008,5200
Mauritius,2009,5369
Mauritius,2010,5060
Mauritius,2011,4911
Mauritius,2012,4610
Mauritius,2013,4472
Morocco,2004,27244
Morocco,2005,22794
Morocco,2006,28594
Morocco,2007,20869
Morocco,2008,24679
Morocco,2009,30354
Morocco,2010,28577
Morocco,2011,30978
Morocco,2012,26236
Morocco,2013,31496
Mozambique,2004,12867
Mozambique,2005,11391
Mozambique,2006,12665
Mozambique,2007,12640
Mozambique,2008,12646
Mozambique,2009,14107
Mozambique,2010,19611
Mozambique,2011,20976
Mozambique,2012,19939
Mozambique,2013,20742
Namibia,2004,1421
Namibia,2005,1434
